1975,1,nan,Marapi,Sumatra,Indonesia,Complex volcano
1975,6,17,Arenal,Costa Rica,Costa Rica,Stratovolcano
1975,11,29,Kilauea,Hawaiian Is,United States,Shield volcano
1976,8,3,Kusatsu-Shirane,Honshu-Japan,Japan,Stratovolcano
1976,8,12,Sangay,Ecuador,Ecuador,Stratovolcano
1976,8,31,Semeru,Java,Indonesia,Stratovolcano
1976,9,15,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano
1976,11,25,Merapi,Java,Indonesia,Stratovolcano
1977,1,10,Nyiragongo,Africa-C,"Congo, DRC",Stratovolcano
1977,4,5,Karthala,Indian O-W,Comoros,Shield volcano
1977,4,27,Krafla,Iceland-NE,Iceland,Caldera
1977,8,2,Kliuchevskoi,Kamchatka,Russia,Stratovolcano
1977,8,7,Usu,Hokkaido-Japan,Japan,Stratovolcano
1978,1,13,Usu,Hokkaido-Japan,Japan,Stratovolcano
1978,7,29,Bulusan,Luzon-Philippines,Philippines,Stratovolcano
1978,9,2,Santa Maria,Guatemala,Guatemala,Stratovolcano
1978,9,19,Semeru,Java,Indonesia,Stratovolcano
1978,nan,nan,Tangkubanparahu,Java,Indonesia,Stratovolcano
1979,2,20,Dieng Volc Complex,Java,Indonesia,Complex volcano
1979,3,8,Karkar,New Guinea-NE of,Papua New Guinea,Stratovolcano
1979,4,13,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,Stratovolcano
1979,7,5,Etna,Italy,Italy,Stratovolcano
1979,7,18,Iliwerung,Lesser Sunda Is,Indonesia,Complex volcano
1979,9,6,Aso,Kyushu-Japan,Japan,Caldera
1980,5,18,St. Helens,US-Washington,United States,Stratovolcano
1980,8,17,Hekla,Iceland-S,Iceland,Stratovolcano
1980,12,25,Hood,US-Oregon,United States,Stratovolcano
1981,3,17,Etna,Italy,Italy,Stratovolcano
1981,3,29,Semeru,Java,Indonesia,Stratovolcano
1981,4,27,Alaid,Kuril Is,Russia,Stratovolcano
1981,5,14,Semeru,Java,Indonesia,Stratovolcano
1981,6,30,Mayon,Luzon-Philippines,Philippines,Stratovolcano
