1915,6,23,4,56,nan,CALIFORNIA: EL CENTRO,CALIFORNIA
1915,7,31,1,31,23.0,RUSSIA: OFF KAMCHATKA,RUSSIA
1915,8,7,15,4,3.0,"GREECE: KEFALLONIA ISLAND, ITHACA ISLAND",GREECE
1915,9,7,1,20,48.0,EL SALVADOR,EL SALVADOR
1915,10,3,6,52,48.0,NEVADA: PLEASANT VALLEY,NEVADA
1915,11,1,7,23,43.0,JAPAN: NEAR E COAST HONSHU,JAPAN
1915,11,6,nan,nan,nan,INDONESIA: NW. IRIAN JAYA,INDONESIA
1915,11,18,20,19,18.0,PHILIPPINES: W. LUZON ISLAND,PHILIPPINES
1915,12,3,2,39,19.0,CHINA: TIBET (XIZANG PROVINCE),CHINA
1915,12,29,nan,nan,nan,"EL SALVADOR: AHUACHAPAN,ATACO,APANECA",EL SALVADOR
1916,1,1,13,20,49.3,PAPUA NEW GUINEA: SOLOMON ISLANDS,PAPUA NEW GUINEA
